booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone,payment_id,amount,payment_method,airline,source,destination,departure_time,arrival_time,duration_minutes,route,first_name,last_name,age,gender,email,phone,aadhaar_id,date_of_birth
B1009,P1424,SJ158,2025-04-28 11:37:36.951,CANCELLED,16d60fe92f5a58498240b07d1f06756c4004ccb8ac1a35e2805525d1a10f4bd5,33C,Thomas Sen,****6278,,,,SpiceJet,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,139.0,DEL -> HYD,Ananya,Nair,33,M,a****r@hotmail.com,****1530,d440178f6d4d838b1d25c4e3fa5475809f60fd505062839f6987f15284845f65,1992-10-11
B1010,P1743,AI155,2025-11-24 11:37:36.951,CONFIRMED,9b8bc958eb99de8fb7b16058960d026a06b3e7d596f3a18533a6dc3e4ff6331d,15B,Arunima Ahuja,****9414,,,,Air India,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,108.0,BOM -> CCU,Saanvi,Mishra,79,F,s****a@rediffmail.com,****7244,ed9f7c3750e5a10c8c61c87f8b19d01a82865245466a448b62adcf3b2ed87757,1947-05-12
B1011,P1092,AI179,2025-10-25 11:37:36.951,CONFIRMED,2c38e171d27dcd125c6913f4d1c146a8da98219f63f72633e64e7bc3f19ef100,22C,Nathaniel Sami,****6153,PAY1537,2115.18,CARD,Air India,HYD,BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,278.0,HYD -> BOM,Reyansh,Verma,60,F,r****a@yahoo.com,****1814,c79cb34e3742a471eb155bba49d5b04485a9f5541e1e58482f76e84d7cb2e6c0,1966-01-02
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,e6d22eaeb25269dd78b2086a7fbc88ea5604221f886dccec006c8c8cd13d8487,28B,Harini Mall,****6860,PAY1050,4074.67,CARD,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,BOM -> DEL,Ananya,Agarwal,3,F,a****l@rediffmail.com,****9762,957569d431e433cfe96cc153610b841696ffd19338901d4c590e12ad8088d332,2023-04-11
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,e6d22eaeb25269dd78b2086a7fbc88ea5604221f886dccec006c8c8cd13d8487,28B,Harini Mall,****6860,PAY1274,12647.86,CARD,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,BOM -> DEL,Ananya,Agarwal,3,F,a****l@rediffmail.com,****9762,957569d431e433cfe96cc153610b841696ffd19338901d4c590e12ad8088d332,2023-04-11
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,e6d22eaeb25269dd78b2086a7fbc88ea5604221f886dccec006c8c8cd13d8487,28B,Harini Mall,****6860,PAY1407,6979.86,CARD,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,BOM -> DEL,Ananya,Agarwal,3,F,a****l@rediffmail.com,****9762,957569d431e433cfe96cc153610b841696ffd19338901d4c590e12ad8088d332,2023-04-11
B1013,P1613,SJ001,2025-07-20 11:37:36.951,CONFIRMED,fab85083e9f77799da2810373757ab2bcaba789e60580d046078a73a50453c99,26E,Nachiket Kale,****6561,PAY1185,1176.33,UPI,SpiceJet,BOM,MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,287.0,BOM -> MAA,Arjun,Singh,62,F,a****h@gmail.com,****1401,040991ba5a1a41e38c542a4c8f4ccd3f1a1d4a52b9156e6765be8ead6b831305,1964-03-28
B1014,P1411,SJ172,2025-09-15 11:37:36.951,PENDING,ce79ecb116713ff5346d04d528e0b69c111ddb29f89f71c7489847f9def6277f,21E,Gayathri Chaudry,****9979,,,,SpiceJet,CCU,DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,196.0,CCU -> DEL,Vivaan,Gupta,19,F,v****a@yahoo.com,****2492,fdc83034b2896804750c32c27d67192ac6fc435b2421fabcaf3ab3c51c803567,2007-01-04
B1015,P1431,UK094,2025-10-21 11:37:36.951,PENDING,e80647128945b84453cc832b9d012cca149f24816051350fa337a4774bb9f73b,6F,George Rai,****5012,PAY1339,12008.1,CARD,Vistara,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,105.0,BOM -> CCU,Ishaan,Patel,63,F,i****l@rediffmail.com,****7664,55c8b9105a7bdc0e9334baaae925ceeebb4ce4ffab4e0e4b4784b8b9c3487ee3,1963-06-13
B1015,P1431,UK094,2025-10-21 11:37:36.951,PENDING,e80647128945b84453cc832b9d012cca149f24816051350fa337a4774bb9f73b,6F,George Rai,****5012,PAY1694,7601.56,CARD,Vistara,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,105.0,BOM -> CCU,Ishaan,Patel,63,F,i****l@rediffmail.com,****7664,55c8b9105a7bdc0e9334baaae925ceeebb4ce4ffab4e0e4b4784b8b9c3487ee3,1963-06-13
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,45ac44b766f544618147856de9f9ccef98e3e4a1cba38f6935f57ff86e03e8ea,6A,Gunbir Parmer,****0204,PAY1577,14076.51,CARD,Vistara,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,141.0,BOM -> CCU,Diya,Naidu,68,F,d****u@yahoo.com,****3124,6c14df191a297f499d9ca5dd179052c1ee32fb0ac961a0bd4f788cb9223f32db,1957-12-20
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,45ac44b766f544618147856de9f9ccef98e3e4a1cba38f6935f57ff86e03e8ea,6A,Gunbir Parmer,****0204,PAY1824,9724.26,NETBANKING,Vistara,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,141.0,BOM -> CCU,Diya,Naidu,68,F,d****u@yahoo.com,****3124,6c14df191a297f499d9ca5dd179052c1ee32fb0ac961a0bd4f788cb9223f32db,1957-12-20
B1017,P1158,UK067,2026-04-04 11:37:36.951,CONFIRMED,f27605d14d86e057ee7d1bb667412de210b87865cc6b2b19d6cf9c9030fc6f52,13B,Hemangini Lalla,****8257,,,,Vistara,BOM,CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,206.0,BOM -> CCU,Muhammad,Joshi,41,M,m****i@outlook.com,****4334,0ff9931b22a04906b3bf274e1bddabb26f50cb8b0b3198069a4a30a95479196a,1984-10-10
B1018,P1013,6F196,2026-03-25 11:37:36.951,CANCELLED,f08afc002842ef6c16197f0905029ce91549bdec0d015e96e30190fc31969a97,19B,Caleb Sharaf,****0106,PAY1141,2588.63,UPI,IndiGo,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,103.0,CCU -> MAA,Sara,Iyer,53,M,s****r@hotmail.com,****6298,01f603c86d6008c8305f292caf52f66c75cf7cd6a4be06f8d783b728fc025429,1973-01-13
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,451e03d407510f4369ae3ce78672045ebc6e9a3a6fdee26b568e98bb183b3930,19A,Jeet Radhakrishnan,****0835,PAY1162,14810.27,UPI,IndiGo,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,BLR -> BOM,Arjun,Nair,15,M,a****r@yahoo.com,****3074,425062e79f645d6c61155b6ad7649afa61c6070540bfe9a600f197067007f6f5,2010-09-25
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,451e03d407510f4369ae3ce78672045ebc6e9a3a6fdee26b568e98bb183b3930,19A,Jeet Radhakrishnan,****0835,PAY1911,3810.73,CARD,IndiGo,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,BLR -> BOM,Arjun,Nair,15,M,a****r@yahoo.com,****3074,425062e79f645d6c61155b6ad7649afa61c6070540bfe9a600f197067007f6f5,2010-09-25
B1020,P1224,SJ112,2025-12-06 11:37:36.951,CONFIRMED,548bb24f886551bdb139f2dd77f8d6f472d18d3fd99a207204fc30e6ad2c5a90,27B,Farhan Memon,****6249,PAY1367,8150.35,NETBANKING,SpiceJet,HYD,DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,140.0,HYD -> DEL,Aadhya,Ghosh,16,M,a****h@outlook.com,****5007,c527a609b122b251768979966fc352deb2d757a9192c5f2b41c88dd9b6fe3cf3,2010-07-04
B1021,P1504,6F190,2025-12-07 11:37:36.951,CANCELLED,a81b91b550af858b5813b47037200dedd33d200c4448b11e296e408de35de8df,4E,Janaki Handa,****0161,PAY1455,6949.93,UPI,IndiGo,DEL,MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,274.0,DEL -> MAA,Riya,Ghosh,35,M,r****h@yahoo.com,****7987,dc329e48c46ec282a6c530312a2ace87939de09d31713aa0b73928983e7dada0,1990-11-22
B1022,P1072,AI080,2026-03-25 11:37:36.951,CONFIRMED,d10b00994471367e9ef55092ad4fdad4c157e38636d7981e73d0271f0f4b9562,16F,Ekaraj Bath,****7221,,,,Air India,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,92.0,BOM -> HYD,Krishna,Banerjee,18,M,k****e@yahoo.com,****7037,7fa979583c28087962c76fdf718a8a148ed0e9cf7bb035d35b27b9225e0c0ed4,2008-02-22
B1023,P1248,6F213,2026-02-03 11:37:36.951,PENDING,baf43ee0438d2412221049ea57b7cc8ae12e72fb43e4330b1dac75ca683c41b0,24B,Vedant Mann,****9325,PAY1905,13057.27,CARD,IndiGo,BLR,BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,207.0,BLR -> BOM,Saanvi,Gupta,23,M,s****a@gmail.com,****5345,7d8681fc891c5fbea4bb60a911802912c18b4bf812d92ddd446e8e1251916ddc,2003-03-04
B1024,P1510,AI115,2025-06-21 11:37:36.951,PENDING,93992d112475cbf9a55b714ec62eeec9e22502e58494767bc38df2389738e843,30F,Fariq Kaul,****8072,PAY1415,4857.79,UPI,Air India,MAA,BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,289.0,MAA -> BLR,Diya,Chatterjee,23,M,d****e@outlook.com,****4887,fb9d06adb18b4ad22b9db1ab4c994cc7dd443b4dfe1b195976ccd061ad92f928,2002-12-19
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,1012f26ddc18bc3edf4a8ec464d0c27061f88c4b6af0e1a474b1b4b7e1a1798c,1B,Harrison Rai,****2966,PAY1628,9721.62,CARD,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,CCU -> DEL,Krishna,Sharma,67,F,k****a@hotmail.com,****6093,6f8e7b9365e9ab9273053226cd5f57ae3449aaa83209bca138c3caa62c26fe56,1959-03-07
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,1012f26ddc18bc3edf4a8ec464d0c27061f88c4b6af0e1a474b1b4b7e1a1798c,1B,Harrison Rai,****2966,PAY1658,11899.89,UPI,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,CCU -> DEL,Krishna,Sharma,67,F,k****a@hotmail.com,****6093,6f8e7b9365e9ab9273053226cd5f57ae3449aaa83209bca138c3caa62c26fe56,1959-03-07
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,1012f26ddc18bc3edf4a8ec464d0c27061f88c4b6af0e1a474b1b4b7e1a1798c,1B,Harrison Rai,****2966,PAY1663,14501.45,CARD,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,CCU -> DEL,Krishna,Sharma,67,F,k****a@hotmail.com,****6093,6f8e7b9365e9ab9273053226cd5f57ae3449aaa83209bca138c3caa62c26fe56,1959-03-07
B1026,P1215,AI058,2025-06-27 11:37:36.951,CONFIRMED,56b08f0dbe81e0fd17a2f4fcf51d07e3893bf17d4a3de4b43cf344fcd3932fae,32C,Arunima Setty,****6345,PAY1235,2015.66,NETBANKING,Air India,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,98.0,BOM -> CCU,Ira,Naidu,75,M,i****u@outlook.com,****5488,6620ac00b7766d2aa3de337afc685196b243ac9de44b66037b684a914bbaa814,1951-08-01
B1026,P1215,AI058,2025-06-27 11:37:36.951,CONFIRMED,56b08f0dbe81e0fd17a2f4fcf51d07e3893bf17d4a3de4b43cf344fcd3932fae,32C,Arunima Setty,****6345,PAY1841,11188.7,UPI,Air India,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,98.0,BOM -> CCU,Ira,Naidu,75,M,i****u@outlook.com,****5488,6620ac00b7766d2aa3de337afc685196b243ac9de44b66037b684a914bbaa814,1951-08-01
B1027,P1972,UK036,2025-07-25 11:37:36.951,CONFIRMED,5739e14cea5a14e268d82ad903d9cafa002c471187ff90bfaf9eb056abc7e070,22A,Janya Gaba,****0795,PAY1306,7503.17,UPI,Vistara,CCU,BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,264.0,CCU -> BLR,Aditya,Joshi,1,F,a****2@gmail.com,****4025,2ca042849a9d94aec6535a1637b9ea831ac6a093af68b5e8f94ec81724059cc0,2025-02-01
B1028,P1601,SJ239,2025-05-25 11:37:36.951,CANCELLED,807a50e4d654f4cea485c6ebd7274f050195fed06f879b3f975a2ea1102d1213,26E,Kamala Pant,****0757,,,,SpiceJet,BOM,CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,106.0,BOM -> CCU,Krishna,Naidu,38,M,k****u@yahoo.com,****9223,f1b3c302d6bdc4f704affd68fed17b30b90431653a8e6cc0b33ed75bc8bf6fa5,1987-12-28
B1029,P1540,6F025,2025-06-06 11:37:36.951,CANCELLED,47899709761c35e8690311381c256b2ace1142579dbfbabbd5611fe4847d60b4,19C,Shaurya Loke,****4016,,,,IndiGo,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,55.0,BLR -> BOM,Kavya,Khan,28,F,k****n@hotmail.com,****7029,f451c6bad83c1556e9b409cffd1f283f07bb19ca7237a81634eb4574650ee4a5,1998-03-26
B1030,P1946,6F236,2026-03-18 11:37:36.951,CANCELLED,d307a6378262c7c97a0e60c8f2f05e982b98a6d02bf77945a704c32d11bcac24,21E,Ekbal Garg,****1429,,,,IndiGo,BOM,DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,199.0,BOM -> DEL,Aditya,Mehta,2,M,a****1@yahoo.com,****1106,86834322dc45ca8dfd6e245235520dcaf8a632f07205be64f923302ccfe03887,2024-05-16
B1031,P1816,AI060,2025-11-16 11:37:36.951,CANCELLED,62954bcb007746dbaec8db12bda3bb7a0172e448d87fb8570bf3aea1f29eb383,1E,Yash Gade,****3949,PAY1268,7056.42,CARD,Air India,DEL,HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,113.0,DEL -> HYD,Shaurya,Joshi,45,F,s****i@gmail.com,****3760,d8a388660430f5ff0a6d1d877ee3ccb28c3b9c7dc72627c937c1e935b4d3a3a5,1981-09-13
B1032,P1938,UK021,2025-09-03 11:37:36.951,CANCELLED,718575c7b7ffd0a23741e5ffd212fb012588f8db1b7b54f2e002d3792df04927,18E,Turvi Raghavan,****8599,,,,Vistara,HYD,MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,110.0,HYD -> MAA,Reyansh,Joshi,33,F,r****i@outlook.com,****0771,09bf794e73709fa09f110b2dc922e7fcfcc630ddfd1c089de44dcf3a15d6a89d,1993-04-26
B1033,P1987,UK026,2025-05-06 11:37:36.951,PENDING,a52d3cb89e597a683b8e4923f892a18b9cc227fa05208424f920f164b5149ef6,19A,Anamika Kanda,****4041,PAY1189,9352.83,CARD,Vistara,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,126.0,HYD -> MAA,Saanvi,Patel,83,F,s****l@gmail.com,****1041,66e06eb24de9085c414dc8c2dde8b55b3b3843c40a81731f4dc3ad727d518c4f,1943-07-19
B1033,P1987,UK026,2025-05-06 11:37:36.951,PENDING,a52d3cb89e597a683b8e4923f892a18b9cc227fa05208424f920f164b5149ef6,19A,Anamika Kanda,****4041,PAY1930,7723.56,UPI,Vistara,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,126.0,HYD -> MAA,Saanvi,Patel,83,F,s****l@gmail.com,****1041,66e06eb24de9085c414dc8c2dde8b55b3b3843c40a81731f4dc3ad727d518c4f,1943-07-19
B1034,P1219,SJ179,2025-12-31 11:37:36.951,CONFIRMED,151e90282739e28aa3bcac20bd2620783b9466e601c1ebd3a504fdd82c37fab6,22F,Ekta Bhalla,****0606,,,,SpiceJet,DEL,HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,210.0,DEL -> HYD,Muhammad,Nair,23,M,m****r@rediffmail.com,****4142,dab744cea374810f3b3a2ffc2c90d37d4863f21dc0a0b9b97bca83ad6f094933,2002-11-10
B1035,P1839,6F251,2025-08-21 11:37:36.951,PENDING,b20f5000d5f6615e42319e1f83503e20184791399b293b54e72a70c98fe7cccb,11D,Veer Balay,****1517,,,,IndiGo,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,41.0,DEL -> BLR,Ishaan,Nair,77,M,i****2@yahoo.com,****1690,1aa8bfbebbf5feba728b7518cf38a479053034ca46df6e6d0c0eb3722fd0074f,1948-11-15
B1036,P1726,SJ149,2025-11-24 11:37:36.951,PENDING,138ba87501deb785f7f1ca7bf1f15783178fc5b5d828e5f569b9aa7c8bf32d58,5B,Diya Rattan,****3647,PAY1271,5144.89,CARD,SpiceJet,HYD,MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,120.00496666666666,HYD -> MAA,Muhammad,Reddy,32,M,m****y@outlook.com,****4817,17c4d285664995fde069f4126afd57ab5d67bcbc7174f171889a171c38f92287,1994-04-25
B1037,P1220,AI188,2026-03-20 11:37:36.951,PENDING,f583dd86ac1ab40cb5a19a1a3361bb223d0bfe35d9aef8f50d06436cb0051cf2,33E,Amrita Bhatti,****5418,,,,Air India,CCU,HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,166.0,CCU -> HYD,Shaurya,Singh,69,F,s****h@gmail.com,****6766,dd41123cfd3cc2283984d014924383700228338ce1baef21b4cf8055ad1cfd77,1957-03-15
B1038,P1388,SJ093,2026-01-01 11:37:36.951,PENDING,2269d969b6195ed518ce51572ce2699f9ff19ba2195a691dc4ecb3eb6a2b62b7,12D,Siddharth Murty,****6192,,,,SpiceJet,BLR,BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,66.0,BLR -> BOM,Reyansh,Das,58,M,r****1@outlook.com,****7269,75d8cd8cb2c7b36b24fd3678c6a3d37ce1ef2e7f872bd26289e23ef6718affd5,1968-02-17
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,f29a77a8a97066be9719ce5f8afac04532cb302ae465eeaa9e72ad183d193d22,11E,Simon Tata,****9854,PAY1441,6604.98,CARD,SpiceJet,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,HYD -> CCU,Anika,Khan,57,M,a****n@outlook.com,****6101,2c0728cab2da27ea1279cb4708e6cc3f88ccdeb9d0656b594d9b5f3754427944,1969-04-11
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,f29a77a8a97066be9719ce5f8afac04532cb302ae465eeaa9e72ad183d193d22,11E,Simon Tata,****9854,PAY1457,8185.34,UPI,SpiceJet,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,HYD -> CCU,Anika,Khan,57,M,a****n@outlook.com,****6101,2c0728cab2da27ea1279cb4708e6cc3f88ccdeb9d0656b594d9b5f3754427944,1969-04-11
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,f29a77a8a97066be9719ce5f8afac04532cb302ae465eeaa9e72ad183d193d22,11E,Simon Tata,****9854,PAY1889,9866.37,CARD,SpiceJet,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,HYD -> CCU,Anika,Khan,57,M,a****n@outlook.com,****6101,2c0728cab2da27ea1279cb4708e6cc3f88ccdeb9d0656b594d9b5f3754427944,1969-04-11
B1040,P1646,6F099,2025-08-08 11:37:36.951,CONFIRMED,bcd1bf6246a8cf6477aa216c1deb2f96288f371bb92207024ee28f4c3b5758e1,26B,Meghana Shanker,****5230,,,,IndiGo,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,35.0,MAA -> DEL,Ananya,Gupta,56,F,a****a@gmail.com,****7929,f870a046aec845151d1f36abf4c65aa615cd95fa7d20586744597e7f2c98f087,1969-10-27
B1041,P1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,86e67dbe9d95297aa5cdd7d7430bac23c7c85f7b1094844241d74ea65dd7c047,25C,Luke Lanka,****6035,PAY1614,13829.91,UPI,Vistara,HYD,BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,248.0,HYD -> BLR,Shaurya,Gupta,51,F,s****a@hotmail.com,****0848,9e9092b91af8eed0b0dda010417a0e8d9bb93f23bd2ec1ff4f05fb258cb4f2b0,1975-08-19
B1041,P1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,86e67dbe9d95297aa5cdd7d7430bac23c7c85f7b1094844241d74ea65dd7c047,25C,Luke Lanka,****6035,PAY1894,9750.27,NETBANKING,Vistara,HYD,BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,248.0,HYD -> BLR,Shaurya,Gupta,51,F,s****a@hotmail.com,****0848,9e9092b91af8eed0b0dda010417a0e8d9bb93f23bd2ec1ff4f05fb258cb4f2b0,1975-08-19
B1042,P1675,UK200,2025-12-02 11:37:36.951,CANCELLED,8e2d9b98b2af010a6674cd2be08b1dee592135a6d9f3e13e3d44518d1e531a12,24F,Liam Koshy,****5890,PAY1048,14402.39,CARD,Vistara,CCU,DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,111.0,CCU -> DEL,Myra,Das,5,F,m****s@gmail.com,****9095,fd2aee20063dba21c4692e2c7b7890647014eb899254078ea0df8fe511916fbd,2020-11-10
B1043,P1872,6F195,2025-11-22 11:37:36.951,CANCELLED,af93a48a3274117cf67cda9e45fa3099ebf7c73e5d88b05f9e7bb825909489a8,8E,Adya Sangha,****1388,PAY1007,8291.6,UPI,IndiGo,CCU,DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,55.0,CCU -> DEL,Krishna,Joshi,7,M,k****2@hotmail.com,****8755,d57ffa1704ee050e6d7b0503f5f3b085bf7ecb935a0c1e666e0cdda64e5f734e,2018-11-14
